I,R,B
7,5.636363636363637,2.483870967741936e-07
7,5.7272727272727275,2.4444444444444445e-07
7,5.818181818181818,2.40625e-07
7,5.909090909090909,2.369230769230769e-07
7,6.0,2.3333333333333336e-07
7,6.090909090909091,2.2985074626865676e-07
7,6.181818181818182,2.2647058823529414e-07
7,6.2727272727272725,2.231884057971015e-07
7,6.363636363636364,2.1999999999999998e-07
7,6.454545454545455,2.1690140845070423e-07
7,6.545454545454546,2.1388888888888888e-07
7,6.636363636363637,2.1095890410958907e-07
7,6.7272727272727275,2.081081081081081e-07
7,6.818181818181818,2.0533333333333335e-07
7,6.909090909090909,2.0263157894736844e-07
